Index,title,artist,image,rank,year
2911,Love Me Like You Do,Ellie Goulding,https://charts-static.billboard.com/img/2015/01/ellie-goulding-xqm-love-me-like-you-do-871-53x53.jpg,13,2015
2912,Take Me To Church,Hozier,https://charts-static.billboard.com/img/2014/04/hozier-hdg-53x53.jpg,14,2015
2913,Bad Blood,Taylor Swift Featuring Kendrick Lamar,https://charts-static.billboard.com/img/2006/07/taylor-swift-w40-53x53.jpg,15,2015
2914,Lean On,Major Lazer & DJ Snake Featuring MO,https://charts-static.billboard.com/img/2015/03/major-lazer-gnw-53x53.jpg,16,2015
2915,Want To Want Me,Jason Derulo,https://charts-static.billboard.com/img/2015/03/jason-derulo-3xq-53x53.jpg,17,2015
2916,Shake It Off,Taylor Swift,https://charts-static.billboard.com/img/2006/07/taylor-swift-w40-53x53.jpg,18,2015
2917,Where Are U Now,Skrillex & Diplo With Justin Bieber,https://charts-static.billboard.com/img/2015/03/skrillex-m4h-53x53.jpg,19,2015
2918,Fight Song,Rachel Platten,https://charts-static.billboard.com/img/2015/03/rachel-platten-lel-53x53.jpg,20,2015
2919,679,Fetty Wap Featuring Remy Boyz,https://charts-static.billboard.com/img/2015/07/fetty-wap-vik-53x53.jpg,21,2015
2920,Lips Are Movin,Meghan Trainor,https://charts-static.billboard.com/img/2014/11/meghan-trainor-oaq-53x53.jpg,22,2015
2921,Worth It,Fifth Harmony Featuring Kid Ink,https://charts-static.billboard.com/img/2013/08/fifth-harmony-cdz-53x53.jpg,23,2015
2922,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,https://charts-static.billboard.com/img/2014/11/omarion-3ri-53x53.jpg,24,2015
2923,"Honey, I'm Good.",Andy Grammer,https://charts-static.billboard.com/img/2015/02/andy-grammer-oyn-53x53.jpg,25,2015
2924,I'm Not The Only One,Sam Smith,https://charts-static.billboard.com/img/2012/11/sam-smith-ik0-53x53.jpg,26,2015
2925,Good For You,Selena Gomez Featuring A$AP Rocky,https://charts-static.billboard.com/img/2015/07/selena-gomez-scg-53x53.jpg,27,2015
2926,All About That Bass,Meghan Trainor,https://charts-static.billboard.com/img/2017/04/meghan-trainor-53x53.jpg,28,2015
2927,Style,Taylor Swift,https://charts-static.billboard.com/img/2014/11/taylor-swift-70p-style-e98-53x53.jpg,29,2015
2928,Hotline Bling,Drake,https://charts-static.billboard.com/img/2009/04/drake-p3d-53x53.jpg,30,2015
2929,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",https://charts-static.billboard.com/img/2014/12/david-guetta-z71-53x53.jpg,31,2015
2930,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,https://charts-static.billboard.com/img/2014/11/flo-rida-8v1-53x53.jpg,32,2015
2931,What Do You Mean?,Justin Bieber,https://charts-static.billboard.com/img/2009/07/justin-bieber-4oh-53x53.jpg,33,2015
2932,Photograph,Ed Sheeran,https://charts-static.billboard.com/img/2014/07/ed-sheeran-buv-photograph-rgt-53x53.jpg,34,2015
2933,Hello,Adele,https://charts-static.billboard.com/img/2015/11/adele-ee3-hello-bmf-53x53.jpg,35,2015
2934,Stitches,Shawn Mendes,https://charts-static.billboard.com/img/2014/07/shawn-mendes-hoz-53x53.jpg,36,2015
2935,Talking Body,Tove Lo,https://charts-static.billboard.com/img/2015/01/tove-lo-vxl-53x53.jpg,37,2015
2936,Jealous,Nick Jonas,https://charts-static.billboard.com/img/2014/09/nick-jonas-zlp-53x53.jpg,38,2015
2937,Time Of Our Lives,Pitbull & Ne-Yo,https://charts-static.billboard.com/img/2014/12/pitbull-odu-53x53.jpg,39,2015
2938,Locked Away,R. City Featuring Adam Levine,https://charts-static.billboard.com/img/2015/07/r-city-xtd-53x53.jpg,40,2015
2939,Somebody,Natalie La Rose Featuring Jeremih,https://charts-static.billboard.com/img/2015/01/natalie-la-rose-26s-53x53.jpg,41,2015
2940,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,https://charts-static.billboard.com/img/2015/02/rihanna-t38-53x53.jpg,42,2015
2941,Centuries,Fall Out Boy,https://charts-static.billboard.com/img/2014/09/fall-out-boy-zhw-53x53.jpg,43,2015
2942,My Way,Fetty Wap Featuring Monty,https://charts-static.billboard.com/img/2015/05/fetty-wap-vik-53x53.jpg,44,2015
2943,Take Your Time,Sam Hunt,https://charts-static.billboard.com/img/2014/11/sam-hunt-2mf-53x53.jpg,45,2015
2944,Animals,Maroon 5,https://charts-static.billboard.com/img/2014/09/maroon-5-9st-53x53.jpg,46,2015
2945,I Don't F**k With You,Big Sean Featuring E-40,https://charts-static.billboard.com/img/2014/10/big-sean-820-53x53.jpg,47,2015
2946,B**** Better Have My Money,Rihanna,https://charts-static.billboard.com/img/2005/06/rihanna-t38-53x53.jpg,48,2015
2947,Flex (Ooh Ooh Ooh),Rich Homie Quan,https://charts-static.billboard.com/img/2015/04/rich-homie-quan-3p0-53x53.jpg,49,2015
2948,Nasty Freestyle,T-Wayne,https://charts-static.billboard.com/img/2015/04/t-wayne-k4f-53x53.jpg,50,2015
2949,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",https://charts-static.billboard.com/img/2009/08/nicki-minaj-ntq-53x53.jpg,51,2015
2950,Elastic Heart,Sia,https://charts-static.billboard.com/img/2015/01/sia-5kn-53x53.jpg,52,2015
2951,Cool For The Summer,Demi Lovato,https://charts-static.billboard.com/img/2015/07/demi-lovato-rh9-53x53.jpg,53,2015
2952,Renegades,X Ambassadors,https://charts-static.billboard.com/img/2015/04/x-ambassadors-qav-53x53.jpg,54,2015
2953,I Don't Mind,Usher Featuring Juicy J,https://charts-static.billboard.com/img/2014/11/usher-oqp-53x53.jpg,55,2015
2954,Love Me Harder,Ariana Grande & The Weeknd,https://charts-static.billboard.com/img/2011/02/ariana-grande-nxo-53x53.jpg,56,2015
2955,Wildest Dreams,Taylor Swift,https://charts-static.billboard.com/img/2006/07/taylor-swift-w40-53x53.jpg,57,2015
2956,Stay With Me,Sam Smith,https://charts-static.billboard.com/img/2014/04/sam-smith-ik0-stay-with-me-nwg-53x53.jpg,58,2015
2957,You Know You Like It,DJ Snake & AlunaGeorge,https://charts-static.billboard.com/img/2015/01/dj-snake-ncv-53x53.jpg,59,2015
2958,Uma Thurman,Fall Out Boy,https://charts-static.billboard.com/img/2015/01/fall-out-boy-zhw-53x53.jpg,60,2015
